Who ever responded.. #TerminateTheirEmployment. They are NOT for for the job. @TheOfficialSBI https://t.co/vhmaWvDdki,Miscellaneous
"@TheOfficialSBI @PMOIndia The SBI ATMs have not open since announcement in Malad Mindspace,Mumbai. We are waiting 2.5hr in queue to get cash",Displeasure
@bankofbaroda @RBI @FinMinIndia @narendramodi do U want 2 see the picture of ATM &amp; CDM machine of sec-9 Rohini delhi.Still Not working.,Displeasure
"@TheOfficialSBI the process of debit is not available.
Plz Start a debit facelity in #shil branch
Ifsc = SBIN060065",Displeasure
@TheOfficialSBI Definitely!,Miscellaneous
@KotakBankLtd didn't even mind to respond,Displeasure
@JhaSanjay MP/MLA KEEPING MONEY IN SWISS BANK HAD ZERO EFFECT. @narendramodi @BJP4India @TheOfficialSBI @INCIndia @babita_kar @YuvaSambalpur,Miscellaneous
RT @Bharat_Lohani: Thanks @TheOfficialSBI at my place for extending all help to customers.  For nation we all have to give our bit. #Modi,Compliment
"Retweeted HDFC Bank (@HDFCBank_Cares):

IMPORTANT ANNOUNCEMENT https://t.co/mQ9Uw2oIMn https://t.co/P9aqzTmoPi",Miscellaneous
"Absolute mismanagement at HDFC bank Marol, suprising given how efficient other pvt banks are! @HDFC_Bank @HDFCBank_Cares",Displeasure
@pandabythebay @KotakBankLtd which branch gets the exchange so quick ? let me know,Miscellaneous
@KotakBankLtd why Banks not issuing token to people standing in long queues. Why Banks want people to stand in queues. Smoothen the process,Displeasure
"By coming to @TheOfficialSBI , @OfficeOfRG proved his stupidity.. It was Nautanki..... https://t.co/vraUvvaB7r",Displeasure
@TheOfficialSBI Can u pls tell ur branches to allow usage of ATM? How much will be the wait? @PMOIndia,Displeasure
"@AxisBankSupport You never talk about excess SMS deductions but keep sending one bit too many unwanted ones, regards",Miscellaneous
@princesurana @TVMohandasPai @ICICIBank_Care @spsurana @ArvindKejriwalYou didn't see any photos with long queues outside the ATMs as of now?,Miscellaneous
@AxisBankSupport is Twitter the only way to get the attention of customer support? My complaint is unresolved for past 2 months @rajivanand,Displeasure
@ICICIBank_Care still no cash on your ATM's....so dont just go around boasting about your services. Fed up. https://t.co/oZhAHGg4k3,Displeasure
"Dear @KotakBankLtd when i opened my jifi account.didn't receive interest from a year,even wen i deposit cash am charged doesn't makes sense.",Displeasure
@TheOfficialSBI today bagasara branch (60031) is closed early,Displeasure
"#_____ in India
@narendramodi 
But in #Foriegn @TheOfficialSBI  @ICICIBank_Care
They don't accept any exchange!!",Miscellaneous
@ICICIBank_Care @ICICIBank @rbi much organised effort today ! Finally able to do transaction ....,Compliment
@ICICIBank_Care With such conduct no one will ever feel safe or confident  entrusting funds/ investments with you You are unfit. unreliable,Displeasure
@NewshoundPoonam @ajitkdubey it took me 4 and half hours @TheOfficialSBI,Miscellaneous
@TheOfficialSBI Borivali E branch not exchanging cash. There shld be diff que for deposit n withdrawal. Branch mgr never on seat!!!,Displeasure
"@TheOfficialSBI NO BIG NO.... World Trade Center, CP New Delhi  ATM not operating. Don't Spread falls news.",Miscellaneous
@TheOfficialSBI @PMOIndia @FinMinIndia ..My sister marrige on 28th Nov but we are unable to whithdrawal huge amount from SBI bank pls suport,Displeasure
@arunjaitley @TheOfficialSBI @narendramodi Seems fishy. Outlets card machines not willing to swipe they want cash. Are they hoarding notes?,Miscellaneous
@ICICIBank_Care ATM inside TCS Synergy Park Hyderabad is not working. Kindly take a look.,Displeasure
@KotakBankLtd are you still working on my case or any detail no updation on ur side...,Displeasure
@HDFCBank_Cares pl provide a response immediately / urgently for email communication reference number for 16314480826.,Miscellaneous
@TheOfficialSBI I just wanted to ask what would be the deposit amount by an individual and also we can deposit the old notes in acvount,Miscellaneous
@macharajarao @sankrant @ls2008 @TheOfficialSBI they are mostly in grind during financial year end.,Miscellaneous
Thank you @ICICIBank @ICICIBank_Care for making the money withdrawal process a seamless experience! Kudos to you guys,Compliment
@ICICIBank_Care What was the point of asking for details if you did not want to contact me?,Displeasure
@TheOfficialSBI Your problem is that you want your customers to work for you. I've made my complaint. And please stock your ATMs ASAP.,Displeasure
@TheOfficialSBI the website is down. Plz rectify. This is very annoying.,Displeasure
@HDFCBank_Cares Refund transaction reference number - 62020829 I a. Tweeting coz no update frm talktous and customer service is judgemental,Displeasure
